"","fips","REGION","DIVISION","CENSUS2010POP","population"
"1","01000",3,6,4779736,4887871
"2","01001",3,6,54571,55601
"3","01003",3,6,182265,218022
"4","01005",3,6,27457,24881
"5","01007",3,6,22915,22400
"6","01009",3,6,57322,57840
"7","01011",3,6,10914,10138
"8","01013",3,6,20947,19680
"9","01015",3,6,118572,114277
"10","01017",3,6,34215,33615
"11","01019",3,6,25989,26032
"12","01021",3,6,43643,44153
"13","01023",3,6,13859,12841
"14","01025",3,6,25833,23920
"15","01027",3,6,13932,13275
"16","01029",3,6,14972,14987
"17","01031",3,6,49948,51909
"18","01033",3,6,54428,54762
"19","01035",3,6,13228,12277
"20","01037",3,6,11539,10715
"21","01039",3,6,37765,36986
"22","01041",3,6,13906,13824
"23","01043",3,6,80406,83442
"24","01045",3,6,50251,48956
"25","01047",3,6,43820,38310
"26","01049",3,6,71109,71385
"27","01051",3,6,79303,81887
"28","01053",3,6,38319,36748
"29","01055",3,6,104430,102501
"30","01057",3,6,17241,16433
"31","01059",3,6,31704,31363
"32","01061",3,6,26790,26314
"33","01063",3,6,9045,8233
"34","01065",3,6,15760,14726
"35","01067",3,6,17302,17209
"36","01069",3,6,101547,104722
"37","01071",3,6,53227,51736
"38","01073",3,6,658466,659300
"39","01075",3,6,14564,13844
"40","01077",3,6,92709,92387
"41","01079",3,6,34339,32957
"42","01081",3,6,140247,163941
"43","01083",3,6,82782,96174
"44","01085",3,6,11299,9974
"45","01087",3,6,21452,18439
"46","01089",3,6,334811,366519
"47","01091",3,6,21027,19066
"48","01093",3,6,30776,29763
"49","01095",3,6,93019,96109
"50","01097",3,6,412992,413757
"51","01099",3,6,23068,21067
"52","01101",3,6,229363,225763
"53","01103",3,6,119490,119089
"54","01105",3,6,10591,9140
"55","01107",3,6,19746,19938
"56","01109",3,6,32899,33338
"57","01111",3,6,22913,22725
"58","01113",3,6,52947,57781
"59","01115",3,6,83593,88690
"60","01117",3,6,195085,215707
"61","01119",3,6,13763,12691
"62","01121",3,6,82291,79828
"63","01123",3,6,41616,40497
"64","01125",3,6,194656,208911
"65","01127",3,6,67023,63711
"66","01129",3,6,17581,16378
"67","01131",3,6,11670,10627
"68","01133",3,6,24484,23660
"69","02000",4,9,710231,737438
"70","02013",4,9,3141,3515
"71","02016",4,9,5561,5723
"72","02020",4,9,291826,291538
"73","02050",4,9,17013,18216
"74","02060",4,9,997,877
"75","02068",4,9,1826,2059
"76","02070",4,9,4847,5000
"77","02090",4,9,97581,98971
"78","02100",4,9,2508,2474
"79","02105",4,9,2150,2151
"80","02110",4,9,31275,32113
"81","02122",4,9,55400,58533
"82","02130",4,9,13477,13918
"83","02150",4,9,13592,13345
"84","02158",4,9,7459,8303
"85","02164",4,9,1631,1587
"86","02170",4,9,88995,107610
"87","02180",4,9,9492,10008
"88","02185",4,9,9430,9872
"89","02188",4,9,7523,7671
"90","02195",4,9,3815,3221
"91","02198",4,9,5559,6422
"92","02220",4,9,8881,8647
"93","02230",4,9,968,1148
"94","02240",4,9,7029,6918
"95","02261",4,9,9636,9164
"96","02275",4,9,2369,2503
"97","02282",4,9,662,604
"98","02290",4,9,5588,5327
"99","04000",4,8,6392017,7171646
"100","04001",4,8,71518,71818
"101","04003",4,8,131346,126770
"102","04005",4,8,134421,142854
"103","04007",4,8,53597,53889
"104","04009",4,8,37220,38072
"105","04011",4,8,8437,9483
"106","04012",4,8,20489,21098
"107","04013",4,8,3817117,4410824
"108","04015",4,8,200186,209550
"109","04017",4,8,107449,110445
"110","04019",4,8,980263,1039073
"111","04021",4,8,375770,447138
"112","04023",4,8,47420,46511
"113","04025",4,8,211033,231993
"114","04027",4,8,195751,212128
"115","05000",3,7,2915918,3013825
"116","05001",3,7,19019,17769
"117","05003",3,7,21853,20046
"118","05005",3,7,41513,41619
"119","05007",3,7,221339,272608
"120","05009",3,7,36903,37480
"121","05011",3,7,11508,10897
"122","05013",3,7,5368,5277
"123","05015",3,7,27446,28223
"124","05017",3,7,11800,10438
"125","05019",3,7,22995,22061
"126","05021",3,7,16083,14847
"127","05023",3,7,25970,24965
"128","05025",3,7,8689,8018
"129","05027",3,7,24552,23537
"130","05029",3,7,21273,20891
"131","05031",3,7,96443,108558
"132","05033",3,7,61948,63406
"133","05035",3,7,50902,48342
"134","05037",3,7,17870,16676
"135","05039",3,7,8116,7182
"136","05041",3,7,13008,11512
"137","05043",3,7,18509,18328
"138","05045",3,7,113237,124806
"139","05047",3,7,18125,17810
"140","05049",3,7,12245,12269
"141","05051",3,7,96024,99154
"142","05053",3,7,17853,18188
"143","05055",3,7,42090,45325
"144","05057",3,7,22609,21741
"145","05059",3,7,32923,33701
"146","05061",3,7,13789,13341
"147","05063",3,7,36647,37678
"148","05065",3,7,13696,13593
"149","05067",3,7,17997,16811
"150","05069",3,7,77435,68114
"151","05071",3,7,25540,26742
"152","05073",3,7,7645,6682
"153","05075",3,7,17415,16434
"154","05077",3,7,10424,8985
"155","05079",3,7,14134,13383
"156","05081",3,7,13171,12326
"157","05083",3,7,22353,21737
"158","05085",3,7,68356,73657
"159","05087",3,7,15717,16481
"160","05089",3,7,16653,16722
"161","05091",3,7,43462,43592
"162","05093",3,7,46480,41239
"163","05095",3,7,8149,6900
"164","05097",3,7,9487,8924
"165","05099",3,7,8997,8326
"166","05101",3,7,8330,7805
"167","05103",3,7,26120,23606
"168","05105",3,7,10445,10352
"169","05107",3,7,21757,18029
"170","05109",3,7,11291,10673
"171","05111",3,7,24583,23974
"172","05113",3,7,20662,20049
"173","05115",3,7,61754,64000
"174","05117",3,7,8715,8074
"175","05119",3,7,382748,392680
"176","05121",3,7,17969,17948
"177","05123",3,7,28258,25439
"178","05125",3,7,107118,121421
"179","05127",3,7,11233,10319
"180","05129",3,7,8195,7958
"181","05131",3,7,125744,127753
"182","05133",3,7,17058,17139
"183","05135",3,7,17264,17366
"184","05137",3,7,12394,12457
"185","05139",3,7,41639,39126
"186","05141",3,7,17295,16603
"187","05143",3,7,203065,236961
"188","05145",3,7,77076,78727
"189","05147",3,7,7260,6490
"190","05149",3,7,22185,21535
"191","06000",4,9,37253956,39557045
"192","06001",4,9,1510271,1666753
"193","06003",4,9,1175,1101
"194","06005",4,9,38091,39383
"195","06007",4,9,220000,231256
"196","06009",4,9,45578,45602
"197","06011",4,9,21419,21627
"198","06013",4,9,1049025,1150215
"199","06015",4,9,28610,27828
"200","06017",4,9,181058,190678
"201","06019",4,9,930450,994400
"202","06021",4,9,28122,28047
"203","06023",4,9,134623,136373
"204","06025",4,9,174528,181827
"205","06027",4,9,18546,17987
"206","06029",4,9,839631,896764
"207","06031",4,9,152982,151366
"208","06033",4,9,64665,64382
"209","06035",4,9,34895,30802
"210","06037",4,9,9818605,10105518
"211","06039",4,9,150865,157672
"212","06041",4,9,252409,259666
"213","06043",4,9,18251,17471
"214","06045",4,9,87841,87606
"215","06047",4,9,255793,274765
"216","06049",4,9,9686,8777
"217","06051",4,9,14202,14250
"218","06053",4,9,415057,435594
"219","06055",4,9,136484,139417
"220","06057",4,9,98764,99696
"221","06059",4,9,3010232,3185968
"222","06061",4,9,348432,393149
"223","06063",4,9,20007,18804
"224","06065",4,9,2189641,2450758
"225","06067",4,9,1418788,1540975
"226","06069",4,9,55269,61537
"227","06071",4,9,2035210,2171603
"228","06073",4,9,3095313,3343364
"229","06075",4,9,805235,883305
"230","06077",4,9,685306,752660
"231","06079",4,9,269637,284010
"232","06081",4,9,718451,769545
"233","06083",4,9,423895,446527
"234","06085",4,9,1781642,1937570
"235","06087",4,9,262382,274255
"236","06089",4,9,177223,180040
"237","06091",4,9,3240,2987
"238","06093",4,9,44900,43724
"239","06095",4,9,413344,446610
"240","06097",4,9,483878,499942
"241","06099",4,9,514453,549815
"242","06101",4,9,94737,96807
"243","06103",4,9,63463,63916
"244","06105",4,9,13786,12535
"245","06107",4,9,442179,465861
"246","06109",4,9,55365,54539
"247","06111",4,9,823318,850967
"248","06113",4,9,200849,220408
"249","06115",4,9,72155,78041
"250","08000",4,8,5029196,5695564
"251","08001",4,8,441603,511868
"252","08003",4,8,15445,16683
"253","08005",4,8,572003,651215
"254","08007",4,8,12084,13765
"255","08009",4,8,3788,3585
"256","08011",4,8,6499,5882
"257","08013",4,8,294567,326078
"258","08014",4,8,55889,69267
"259","08015",4,8,17809,20027
"260","08017",4,8,1836,1876
"261","08019",4,8,9088,9605
"262","08021",4,8,8256,8200
"263","08023",4,8,3524,3828
"264","08025",4,8,5823,5858
"265","08027",4,8,4255,4954
"266","08029",4,8,30952,30953
"267","08031",4,8,600158,716492
"268","08033",4,8,2064,2074
"269","08035",4,8,285465,342776
"270","08037",4,8,52197,54993
"271","08039",4,8,23086,26282
"272","08041",4,8,622263,713856
"273","08043",4,8,46824,48021
"274","08045",4,8,56389,59770
"275","08047",4,8,5441,6121
"276","08049",4,8,14843,15525
"277","08051",4,8,15324,17246
"278","08053",4,8,843,811
"279","08055",4,8,6711,6889
"280","08057",4,8,1394,1399
"281","08059",4,8,534543,580233
"282","08061",4,8,1398,1383
"283","08063",4,8,8270,7163
"284","08065",4,8,7310,7824
"285","08067",4,8,51334,56310
"286","08069",4,8,299630,350518
"287","08071",4,8,15507,14503
"288","08073",4,8,5467,5610
"289","08075",4,8,22709,21528
"290","08077",4,8,146723,153207
"291","08079",4,8,712,776
"292","08081",4,8,13795,13188
"293","08083",4,8,25535,26158
"294","08085",4,8,41276,42214
"295","08087",4,8,28159,28558
"296","08089",4,8,18831,18432
"297","08091",4,8,4436,4833
"298","08093",4,8,16206,18556
"299","08095",4,8,4442,4286
"300","08097",4,8,17148,17950
"301","08099",4,8,12551,12164
"302","08101",4,8,159063,167529
"303","08103",4,8,6666,6336
"304","08105",4,8,11982,11250
"305","08107",4,8,23509,25733
"306","08109",4,8,6108,6843
