"","name","fips","land_size"
"1","UNITED STATES","00000",3787425.08
"2","ALABAMA","01000",52422.94
"3","Autauga, AL","01001",604.49
"4","Baldwin, AL","01003",2027.08
"5","Barbour, AL","01005",904.59
"6","Bibb, AL","01007",625.5
"7","Blount, AL","01009",650.65
"8","Bullock, AL","01011",626.11
"9","Butler, AL","01013",777.99
"10","Calhoun, AL","01015",612.35
"11","Chambers, AL","01017",603.15
"12","Cherokee, AL","01019",600
"13","Chilton, AL","01021",700.8
"14","Choctaw, AL","01023",920.91
"15","Clarke, AL","01025",1252.6
"16","Clay, AL","01027",606.05
"17","Cleburne, AL","01029",561.06
"18","Coffee, AL","01031",680.52
"19","Colbert, AL","01033",623.66
"20","Conecuh, AL","01035",852.58
"21","Coosa, AL","01037",666.41
"22","Covington, AL","01039",1043.95
"23","Crenshaw, AL","01041",610.91
"24","Cullman, AL","01043",754.86
"25","Dale, AL","01045",562.72
"26","Dallas, AL","01047",993.46
"27","DeKalb, AL","01049",778.71
"28","Elmore, AL","01051",657.26
"29","Escambia, AL","01053",953.04
"30","Etowah, AL","01055",548.81
"31","Fayette, AL","01057",629.38
"32","Franklin, AL","01059",646.55
"33","Geneva, AL","01061",578.96
"34","Greene, AL","01063",659.99
"35","Hale, AL","01065",656.52
"36","Henry, AL","01067",568.38
"37","Houston, AL","01069",581.71
"38","Jackson, AL","01071",1126.82
"39","Jefferson, AL","01073",1123.87
"40","Lamar, AL","01075",605.51
"41","Lauderdale, AL","01077",718.84
"42","Lawrence, AL","01079",718.13
"43","Lee, AL","01081",615.61
"44","Limestone, AL","01083",607.12
"45","Lowndes, AL","01085",725.09
"46","Macon, AL","01087",613.29
"47","Madison, AL","01089",812.89
"48","Marengo, AL","01091",982.92
"49","Marion, AL","01093",743.62
"50","Marshall, AL","01095",623.21
"51","Mobile, AL","01097",1644.14
"52","Monroe, AL","01099",1034.62
"53","Montgomery, AL","01101",799.81
"54","Morgan, AL","01103",599.09
"55","Perry, AL","01105",724.13
"56","Pickens, AL","01107",890.1
"57","Pike, AL","01109",672.15
"58","Randolph, AL","01111",584.15
"59","Russell, AL","01113",647.44
"60","St. Clair, AL","01115",653.66
"61","Shelby, AL","01117",809.6
"62","Sumter, AL","01119",913.35
"63","Talladega, AL","01121",760.32
"64","Tallapoosa, AL","01123",766.3
"65","Tuscaloosa, AL","01125",1352.03
"66","Walker, AL","01127",805.36
"67","Washington, AL","01129",1088.62
"68","Wilcox, AL","01131",907.54
"69","Winston, AL","01133",631.9
"70","ALASKA","02000",656424.14
"71","Aleutians East, AK","02013",15011.77
"72","Aleutians West, AK","02016",14114.7
"73","Anchorage, AK","02020",1961.51
"74","Bethel, AK","02050",45954.59
"75","Bristol Bay, AK","02060",917.61
"76","Denali, AK","02068",0
"77","Dillingham, AK","02070",20613.12
"78","Fairbanks North Star, AK","02090",7443.68
"79","Haines, AK","02100",2754.1
"80","Hoonah-Angoon, AK","02105",17500.23
"81","Juneau, AK","02110",3081.12
"82","Kenai Peninsula, AK","02122",21664.33
"83","Ketchikan Gateway, AK","02130",1743.55
"84","Kodiak Island, AK","02150",11845.9
"85","Lake and Peninsula, AK","02164",29008.24
"86","Matanuska-Susitna, AK","02170",25232.41
"87","Nome, AK","02180",28276.17
"88","North Slope, AK","02185",93823.1
"89","Northwest Arctic, AK","02188",40660.96
"90","Petersburg, AK","02195",8973.77
"91","Prince of Wales-Hyder, AK","02198",12566.41
